Tempo,Referencia_Temperatura,Saida_Temperatura,Sinal_Controle_Temperatura,Erro_Temperatura
18,30,22,0,8
36,30,22,0,8
54,30,22,0,8
72,30,22,0,8
90,30,22,0,8
108,30,21.2916,9.35988333230768,8.7084
126,30,20.60601048,15.4853631505458,9.39398952
144,30,19.942496942544,21.8483916878675,10.057503057456
162,30,19.3003485409941,28.4413198755181,10.6996514590059
180,30,19.5021726558839,28.5635248396593,10.4978273441161
198,30,20.2839370452478,27.8924260802462,9.71606295475215
216,30,21.631399303692,25.027549057105,8.36860069630803
234,30,23.5477750560549,19.6204253293226,6.45222494394509
252,30,25.4467506623128,16.196886832151,4.55324933768724
270,30,27.2261714304386,12.8078679909021,2.7738285695614
288,30,28.6928843741899,10.591819558964,1.30711562581011
306,30,29.6221763340089,10.598091626757,0.377823665991141
324,30,30.192888386736,10.5463236024904,-0.192888386736026
342,30,30.4296996031385,11.2475021877633,-0.42969960313852
360,30,30.4467117723976,12.0416165028916,-0.44671177239762
378,30,30.4524481543711,11.8747969302126,-0.452448154371087
396,30,30.4534782342556,11.6900504943193,-0.453478234255588
414,30,30.5158873146849,10.9834676701495,-0.5158873146849
432,30,30.6497061168821,9.96005069871538,-0.649706116882104
450,30,30.7685845458997,9.3373540029939,-0.768584545899717
468,30,30.8665356813769,8.76025756273412,-0.866535681376856
486,30,30.898241405719,8.57814505751111,-0.898241405718959
504,30,30.8353099423549,8.83620542121022,-0.835309942354876
522,30,30.7144232783709,9.14383984259807,-0.714423278370855
540,30,30.5434982359006,9.63716122678692,-0.543498235900643
558,30,30.3591209429576,10.0788912050373,-0.359120942957635
576,30,30.2024526357868,10.3143863411972,-0.202452635786781
594,30,30.0792020990633,10.4804484334099,-0.079202099063334
612,30,30.0048786377805,10.4630891050497,-0.00487863778049658
630,30,29.9743139666834,10.3560365284004,0.0256860333166173
648,30,29.9676960357615,10.2760925154499,0.0323039642384728
666,30,29.9770966940894,10.1827445761046,0.0229033059105674
684,30,29.985512980746,10.1693221851526,0.0144870192540196
702,30,29.9841535593488,10.2269063630921,0.0158464406512344
720,30,29.9752611383263,10.2998694348945,0.0247388616737325
738,30,29.95803725349,10.4087553539026,0.0419627465100376
756,30,29.939712203226,10.4947372450903,0.0602877967740199
774,30,29.9269740039021,10.5383121120831,0.0730259960978863
792,30,29.9213569098579,10.5562876857347,0.0786430901420765
810,30,29.9258696737134,10.5282922759868,0.074130326286614
828,30,29.9383543230493,10.4816142901248,0.0616456769506719
846,30,29.9547074598035,10.4357662011403,0.0452925401965274
864,30,29.9723369530855,10.3905723536485,0.0276630469144692
882,30,29.9870277961124,10.3674021496512,0.0129722038876388
900,30,29.9969973017217,10.3620325656544,0.0030026982783049
918,30,30.0023754003953,10.3670572584426,-0.00237540039529094
936,30,30.0033717066933,10.3834563646235,-0.00337170669328657
954,30,30.0020678441012,10.3972754572202,-0.00206784410115546
972,30,30.0002157209378,10.405203419994,-0.00021572093778488
990,30,29.9988378769354,10.4075027325002,0.0011621230646206
1008,30,29.9989724405758,10.4003814125314,0.00102755942418042
1026,30,30.0004016701023,10.3898642989167,-0.000401670102299079
1044,30,30.0025525612249,10.3789919122818,-0.00255256122492398
1062,30,30.004876794512,10.3691730416973,-0.00487679451197209
1080,30,30.0065114996834,10.3647378579434,-0.00651149968337705
1098,30,30.0071322345161,10.3645321886118,-0.00713223451607092
1116,30,30.0067231144505,10.36759912135,-0.00672311445045182
1134,30,30.0054081597464,10.3733184101864,-0.00540815974635933
1152,30,30.0036954497695,10.3785567893225,-0.00369544976947012
1170,30,30.0019972232941,10.3825573298427,-0.00199722329411856
1188,30,30.000622400258,10.3847618822581,-0.000622400258023958
1206,30,29.9998105258574,10.3845460687509,0.000189474142619162
1224,30,29.9995146728214,10.3831768412528,0.000485327178569861
1242,30,29.9996068971472,10.3812390037502,0.000393102852800808
1260,30,29.9999104270314,10.3793867450699,8.95729686192226e-05
1278,30,30.000196421469,10.3785449972175,-0.000196421468992014
1296,30,30.0003516711442,10.3785540879656,-0.000351671144230181
1314,30,30.0003245002252,10.3793547698981,-0.000324500225229229
1332,30,30.0001254159434,10.3806980554397,-0.000125415943411866
1350,30,29.9998492740377,10.3819401164451,0.000150725962306808
1368,30,29.999578539027,10.3828961702149,0.000421460973029752
1386,30,29.9993869959383,10.3833559707714,0.00061300406171938
1404,30,29.9993238514043,10.3832346161326,0.000676148595672998
1422,30,29.9993788291338,10.3827917924633,0.000621170866196508
1440,30,29.9995224531605,10.3821651128082,0.000477546839498189
1458,30,29.9997067628642,10.3815644563414,0.0002932371358213
1476,30,29.9998768038262,10.3811902691777,0.000123196173795748
1494,30,30.0000018010042,10.3810379094694,-1.80100418845086e-06
1512,30,30.0000653965581,10.3811143292901,-6.53965581030036e-05
1530,30,30.0000709207929,10.3813423235436,-7.09207929148192e-05
1548,30,30.000040296303,10.3815856361472,-4.02963030339265e-05
1566,30,29.9999953517491,10.3817872970925,4.64825087931331e-06
1584,30,29.9999578007864,10.3818809998589,4.21992136452332e-05
1602,30,29.999941902316,10.3818507236302,5.80976839898995e-05
1620,30,29.9999490780438,10.3817429528566,5.09219562232488e-05
1638,30,29.999974999271,10.381589252371,2.50007289857024e-05
1656,30,30.0000093543843,10.3814444371776,-9.35438428228963e-06
1674,30,30.0000404171129,10.381351020953,-4.04171129062547e-05
1692,30,30.0000608459984,10.3813144222432,-6.0845998415715e-05
1710,30,30.0000665490259,10.3813377924634,-6.65490258562329e-05
1728,30,30.0000585481359,10.3813999975949,-5.85481359323126e-05
1746,30,30.0000418508742,10.3814713537683,-4.18508742150436e-05
1764,30,30.0000219965532,10.3815345480659,-2.19965532295419e-05
1782,30,30.0000046508985,10.3815712747293,-4.65089851431344e-06
1800,30,29.9999934542917,10.3815777445069,6.5457083344711e-06
1818,30,29.9999892113287,10.3815619552989,1.07886713074379e-05
1836,30,29.9999910267625,10.3815318806271,8.97323753434875e-06
1854,30,29.9999963358756,10.3815013881792,3.66412443852937e-06
